title,address,city,state,postal_code,price,facts and features,url,bed,bath,sqft,property_type
Condo For Sale,220 Lombard St APT 116,San Francisco,CA,94111,849000.0,"1 bd , 1 ba , 830 sqft",https://www.zillow.com/homedetails/220-Lombard-St-APT-116-San-Francisco-CA-94111/15064048_zpid/,1.0,1.0,830.0,condo
Condo For Sale,101 Lombard St APT 603W,San Francisco,CA,94111,1650000.0,"2 bds , 2 ba , 1,500 sqft",https://www.zillow.com/homedetails/101-Lombard-St-APT-603W-San-Francisco-CA-94111/15064968_zpid/,2.0,2.0,1500.0,condo
Condo For Sale,733 Front St UNIT 312,San Francisco,CA,94111,1195000.0,"1 bd , 1 ba , 1,189 sqft",https://www.zillow.com/homedetails/733-Front-St-UNIT-312-San-Francisco-CA-94111/89239591_zpid/,1.0,1.0,1189.0,condo
Condo For Sale,550 Davis St UNIT 44,San Francisco,CA,94111,1995000.0,"3 bds , 2 ba , 1,520 sqft",https://www.zillow.com/homedetails/550-Davis-St-UNIT-44-San-Francisco-CA-94111/15067289_zpid/,3.0,2.0,1520.0,condo
Condo For Sale,240 Lombard St APT 437,San Francisco,CA,94111,625000.0,"1 bd , 1 ba , 566 sqft",https://www.zillow.com/homedetails/240-Lombard-St-APT-437-San-Francisco-CA-94111/15064147_zpid/,1.0,1.0,566.0,condo
Condo For Sale,550 Davis St UNIT 39,San Francisco,CA,94111,1196000.0,"1 bd , 1 ba , 914 sqft",https://www.zillow.com/homedetails/550-Davis-St-UNIT-39-San-Francisco-CA-94111/15067284_zpid/,1.0,1.0,914.0,condo
House For Sale,578 London St,San Francisco,CA,94112,999000.0,"2 bds , 1 ba , 1,250 sqft",https://www.zillow.com/homedetails/578-London-St-San-Francisco-CA-94112/15174520_zpid/,2.0,1.0,1250.0,house
House For Sale,433 Excelsior Ave,San Francisco,CA,94112,899000.0,"3 bds , 1.5 ba , 1,325 sqft",https://www.zillow.com/homedetails/433-Excelsior-Ave-San-Francisco-CA-94112/15169306_zpid/,3.0,1.5,1325.0,house
House For Sale,57 Niagara Ave,San Francisco,CA,94112,699000.0,"2 bds , 1 ba , 750 sqft",https://www.zillow.com/homedetails/57-Niagara-Ave-San-Francisco-CA-94112/15191339_zpid/,2.0,1.0,750.0,house
House For Sale,347 Lisbon St,San Francisco,CA,94112,1599999.0,"6 bds , 6 ba , 3,168 sqft",https://www.zillow.com/homedetails/347-Lisbon-St-San-Francisco-CA-94112/15170884_zpid/,6.0,6.0,3168.0,house
House For Sale,271 Lowell St,San Francisco,CA,94112,689000.0,"2 bds , 1 ba , 746 sqft",https://www.zillow.com/homedetails/271-Lowell-St-San-Francisco-CA-94112/15179589_zpid/,2.0,1.0,746.0,house
House For Sale,15 Valdez Ave,San Francisco,CA,94112,1199000.0,"2 bds , 2 ba , 1,166 sqft",https://www.zillow.com/homedetails/15-Valdez-Ave-San-Francisco-CA-94112/15139585_zpid/,2.0,2.0,1166.0,house
House For Sale,768 Rolph St,San Francisco,CA,94112,898000.0,"2 bds , 1 ba , 1,160 sqft",https://www.zillow.com/homedetails/768-Rolph-St-San-Francisco-CA-94112/15177495_zpid/,2.0,1.0,1160.0,house
House For Sale,646 London St,San Francisco,CA,94112,788888.0,"2 bds , 1 ba , 1,336 sqft",https://www.zillow.com/homedetails/646-London-St-San-Francisco-CA-94112/15176436_zpid/,2.0,1.0,1336.0,house
House For Sale,721 Holloway Ave,San Francisco,CA,94112,749000.0,"1 bd , 1 ba , 735 sqft",https://www.zillow.com/homedetails/721-Holloway-Ave-San-Francisco-CA-94112/15189413_zpid/,1.0,1.0,735.0,house
House For Sale,7 Rotteck St,San Francisco,CA,94112,1795000.0,"4 bds , 4 ba , 2,308 sqft",https://www.zillow.com/homedetails/7-Rotteck-St-San-Francisco-CA-94112/15185543_zpid/,4.0,4.0,2308.0,house
House For Sale,1276 Geneva Ave,San Francisco,CA,94112,789000.0,"5 bds , 3 ba , 1,839 sqft",https://www.zillow.com/homedetails/1276-Geneva-Ave-San-Francisco-CA-94112/15177347_zpid/,5.0,3.0,1839.0,house
House For Sale,399 Ellington Ave,San Francisco,CA,94112,799000.0,"2 bds , 1 ba , 1,510 sqft",https://www.zillow.com/homedetails/399-Ellington-Ave-San-Francisco-CA-94112/15192891_zpid/,2.0,1.0,1510.0,house
House For Sale,2 Rosella Ct,San Francisco,CA,94112,949000.0,"2 bds , 1 ba , 1,026 sqft",https://www.zillow.com/homedetails/2-Rosella-Ct-San-Francisco-CA-94112/15188253_zpid/,2.0,1.0,1026.0,house
House For Sale,45 Hazelwood Ave,San Francisco,CA,94112,1299000.0,"2 bds , 1 ba , 1,215 sqft",https://www.zillow.com/homedetails/45-Hazelwood-Ave-San-Francisco-CA-94112/15139603_zpid/,2.0,1.0,1215.0,house
House For Sale,617 Lakeview Ave,San Francisco,CA,94112,979800.0,"4 bds , 2 ba , 1,782 sqft",https://www.zillow.com/homedetails/617-Lakeview-Ave-San-Francisco-CA-94112/15192211_zpid/,4.0,2.0,1782.0,house
House For Sale,1319 Alemany Blvd,San Francisco,CA,94112,1100000.0,"3 bds , 2 ba , 1,128 sqft",https://www.zillow.com/homedetails/1319-Alemany-Blvd-San-Francisco-CA-94112/15186851_zpid/,3.0,2.0,1128.0,house
House For Sale,161 Majestic Ave,San Francisco,CA,94112,1499000.0,"7 bds , 5 ba , 3,200 sqft",https://www.zillow.com/homedetails/161-Majestic-Ave-San-Francisco-CA-94112/89237842_zpid/,7.0,5.0,3200.0,house
